,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
4169,Hernani,Defensive Midfield,22,Atlético-PR,Série A,Zenit S-Pb,Premier Liga,2016-2017,1750000,8000000
4170,Dodô,Left-Back,24,AS Roma,Serie A,Inter,Serie A,2016-2017,6000000,7800000
4171,José Sosa,Attacking Midfield,31,Besiktas,Süper Lig,AC Milan,Serie A,2016-2017,8000000,7500000
4172,Max Kruse,Second Striker,28,VfL Wolfsburg,1.Bundesliga,Werder Bremen,1.Bundesliga,2016-2017,8000000,7500000
4173,Antonio Sanabria,Centre-Forward,20,AS Roma,Serie A,Real Betis,LaLiga,2016-2017,7500000,7500000
4174,Timothée Kolodziejczak,Centre-Back,25,Sevilla FC,LaLiga,Bor. M'gladbach,1.Bundesliga,2016-2017,7000000,7500000
4175,Miguel Almirón,Attacking Midfield,22,Lanús,Primera División,Atlanta United,MLS,2016-2017,5500000,7500000
4176,Malick Evouna,Centre-Forward,23,Ahly,Premier League,TJ Teda,Super League,2016-2017,2000000,7250000
4177,Eran Zahavi,Second Striker,28,M. Tel Aviv,Ligat ha'Al,GZ R&F,Super League,2016-2017,4000000,7230000
4178,Cristian Espinoza,Right Winger,21,Huracán,Primera División,Villarreal CF,LaLiga,2016-2017,5000000,7200000
4179,Diogo Jota,Left Winger,19,Paços Ferreira,Liga NOS,Atlético Madrid,LaLiga,2016-2017,3000000,7200000
4180,Rudy Gestede,Centre-Forward,28,Aston Villa,Championship,Middlesbrough,Premier League,2016-2017,7000000,7100000
4181,Arthur Masuaku,Left-Back,22,Olympiacos,Super League,West Ham,Premier League,2016-2017,7000000,7100000
4182,Denis Cheryshev,Left Winger,25,Real Madrid,LaLiga,Villarreal CF,LaLiga,2016-2017,10000000,7000000
4183,Konstantinos Mitroglou,Centre-Forward,28,Fulham,Championship,Benfica,Liga NOS,2016-2017,9500000,7000000
4184,Gerónimo Rulli,Goalkeeper,24,Man City,Premier League,Real Sociedad,LaLiga,2016-2017,8000000,7000000
4185,Odil Akhmedov,Defensive Midfield,29,Krasnodar,Premier Liga,SIPG,Super League,2016-2017,7000000,7000000
4186,Anwar El Ghazi,Left Winger,21,AFC Ajax,Eredivisie,LOSC Lille,Ligue 1,2016-2017,6500000,7000000
4187,Jonathas,Centre-Forward,27,Real Sociedad,LaLiga,Rubin Kazan,Premier Liga,2016-2017,6000000,7000000
4188,Martin Hinteregger,Centre-Back,23,RB Salzburg,Bundesliga,FC Augsburg,1.Bundesliga,2016-2017,6000000,7000000
4189,Giuliano,Attacking Midfield,26,Grêmio,Série A,Zenit S-Pb,Premier Liga,2016-2017,5000000,7000000
4190,Leo Baptistão,Centre-Forward,23,Atlético Madrid,LaLiga,Espanyol,LaLiga,2016-2017,4000000,7000000
4191,Lewis Cook,Central Midfield,19,Leeds,Championship,Bournemouth,Premier League,2016-2017,4000000,7000000
4192,Ismael Sosa,Right Winger,29,UNAM Pumas,Liga MX Clausura,Tigres UANL,Liga MX Clausura,2016-2017,3000000,7000000
4193,Harold Preciado,Centre-Forward,22,Deportivo Cali,Liga Águila II,SZ FC,League One,2016-2017,1150000,7000000
4194,Christian Kabasele,Centre-Back,25,KRC Genk,Jupiler Pro League,Watford,Premier League,2016-2017,6000000,6950000
4195,Patrick Bamford,Centre-Forward,23,Chelsea,Premier League,Middlesbrough,Premier League,2016-2017,5000000,6900000
4196,Haiqing Cao,Left-Back,23,ZJ Greentown,League One,JS Suning,Super League,2016-2017,175000,6870000
4197,Hernán Toledo,Left Winger,20,Vélez Sarsfield,Primera División,Maldonado, Uruguay,2016-2017,200000,6750000
4198,Matz Sels,Goalkeeper,24,KAA Gent,Jupiler Pro League,Newcastle,Championship,2016-2017,6500000,6600000
4199,Silvio Romero,Centre-Forward,27,Chiapas FC,Liga MX Clausura,América,Liga MX Clausura,2016-2017,3000000,6600000
4200,Grant Hanley,Centre-Back,24,Blackburn,Championship,Newcastle,Championship,2016-2017,2500000,6600000
4201,Alex Telles,Left-Back,23,Galatasaray,Süper Lig,FC Porto,Liga NOS,2016-2017,8500000,6500000
4202,Douglas Santos,Left-Back,22,Atlético-MG,Série A,Hamburger SV,1.Bundesliga,2016-2017,6000000,6500000
4203,Matt Phillips,Right Winger,25,QPR,Championship,West Brom,Premier League,2016-2017,6000000,6500000
4204,Hiroshi Kiyotake,Attacking Midfield,26,Hannover 96,2.Bundesliga,Sevilla FC,LaLiga,2016-2017,4500000,6500000
4205,Jhon Córdoba,Centre-Forward,23,Granada CF,LaLiga,1.FSV Mainz 05,1.Bundesliga,2016-2017,3500000,6500000
4206,Willy Boly,Centre-Back,25,Braga,Liga NOS,FC Porto,Liga NOS,2016-2017,2750000,6500000
4207,Simone Verdi,Right Winger,24,AC Milan,Serie A,Bologna,Serie A,2016-2017,2000000,6500000
4208,Lys Mousset,Centre-Forward,20,AC Le Havre,Ligue 2,Bournemouth,Premier League,2016-2017,400000,6500000
4209,Edimilson Fernandes,Central Midfield,20,FC Sion,Super League,West Ham,Premier League,2016-2017,4500000,6400000
4210,Loris Karius,Goalkeeper,23,1.FSV Mainz 05,1.Bundesliga,Liverpool,Premier League,2016-2017,7000000,6200000
4211,Neymar,Left Winger,25,FC Barcelona,LaLiga,Paris SG,Ligue 1,2017-2018,100000000,222000000
4212,Philippe Coutinho,Attacking Midfield,25,Liverpool,Premier League,FC Barcelona,LaLiga,2017-2018,90000000,125000000
4213,Ousmane Dembélé,Right Winger,20,Bor. Dortmund,1.Bundesliga,FC Barcelona,LaLiga,2017-2018,33000000,115000000
4214,Romelu Lukaku,Centre-Forward,24,Everton,Premier League,Man Utd,Premier League,2017-2018,50000000,84700000
4215,Virgil van Dijk,Centre-Back,26,Southampton,Premier League,Liverpool,Premier League,2017-2018,30000000,78800000
4216,Diego Costa,Centre-Forward,29,Chelsea,Premier League,Atlético Madrid,LaLiga,2017-2018,50000000,66000000
4217,Álvaro Morata,Centre-Forward,24,Real Madrid,LaLiga,Chelsea,Premier League,2017-2018,40000000,66000000
4218,Aymeric Laporte,Centre-Back,23,Athletic Bilbao,LaLiga,Man City,Premier League,2017-2018,25000000,65000000
4219,Pierre-Emerick Aubameyang,Centre-Forward,28,Bor. Dortmund,1.Bundesliga,Arsenal,Premier League,2017-2018,65000000,63750000
4220,Benjamin Mendy,Left-Back,23,Monaco,Ligue 1,Man City,Premier League,2017-2018,13000000,57500000
4221,Alexandre Lacazette,Centre-Forward,26,Olympique Lyon,Ligue 1,Arsenal,Premier League,2017-2018,40000000,53000000
4222,Kyle Walker,Right-Back,27,Spurs,Premier League,Man City,Premier League,2017-2018,30000000,52700000
4223,Bernardo Silva,Right Winger,22,Monaco,Ligue 1,Man City,Premier League,2017-2018,40000000,50000000
4224,Gylfi Sigurdsson,Attacking Midfield,27,Swansea,Premier League,Everton,Premier League,2017-2018,25000000,49400000
4225,Nemanja Matic,Defensive Midfield,29,Chelsea,Premier League,Man Utd,Premier League,2017-2018,35000000,44700000
4226,Leonardo Bonucci,Centre-Back,30,Juventus,Serie A,AC Milan,Serie A,2017-2018,45000000,42000000
4227,Mohamed Salah,Right Winger,25,AS Roma,Serie A,Liverpool,Premier League,2017-2018,35000000,42000000
4228,Corentin Tolisso,Central Midfield,22,Olympique Lyon,Ligue 1,Bayern Munich ,1.Bundesliga,2017-2018,22000000,41500000
4229,Federico Bernardeschi,Right Winger,23,Fiorentina,Serie A,Juventus,Serie A,2017-2018,30000000,40000000
4230,Cédric Bakambu,Centre-Forward,26,Villarreal CF,LaLiga,BJ Sinobo Guoan,Super League,2017-2018,25000000,40000000
4231,Ederson,Goalkeeper,23,Benfica,Liga NOS,Man City,Premier League,2017-2018,22000000,40000000
4232,Tiemoué Bakayoko,Defensive Midfield,22,Monaco,Ligue 1,Chelsea,Premier League,2017-2018,16000000,40000000
4233,Paulinho,Central Midfield,29,GZ Evergrande,Super League,FC Barcelona,LaLiga,2017-2018,15000000,40000000
4234,Davinson Sánchez,Centre-Back,21,AFC Ajax,Eredivisie,Spurs,Premier League,2017-2018,12000000,40000000
4235,André Silva,Centre-Forward,21,FC Porto,Liga NOS,AC Milan,Serie A,2017-2018,22000000,38000000
4236,Alex Oxlade-Chamberlain,Right Midfield,24,Arsenal,Premier League,Liverpool,Premier League,2017-2018,22000000,38000000
4237,Danny Drinkwater,Central Midfield,27,Leicester,Premier League,Chelsea,Premier League,2017-2018,9000000,37900000
4238,Vitolo,Left Winger,27,Sevilla FC,LaLiga,Atlético Madrid,LaLiga,2017-2018,25000000,36000000
4239,Antonio Rüdiger,Centre-Back,24,AS Roma,Serie A,Chelsea,Premier League,2017-2018,25000000,35000000
4240,Victor Lindelöf,Centre-Back,22,Benfica,Liga NOS,Man Utd,Premier League,2017-2018,22000000,35000000
4241,Iñigo Martínez,Centre-Back,26,Real Sociedad,LaLiga,Athletic Bilbao,LaLiga,2017-2018,25000000,32000000
4242,Nélson Semedo,Right-Back,23,Benfica,Liga NOS,FC Barcelona,LaLiga,2017-2018,20000000,30570000
4243,Yannick Carrasco,Left Winger,24,Atlético Madrid,LaLiga,DL Yifang,Super League,2017-2018,40000000,30000000
4244,Keita Baldé,Left Winger,22,Lazio,Serie A,Monaco,Ligue 1,2017-2018,25000000,30000000
4245,Danilo,Right-Back,26,Real Madrid,LaLiga,Man City,Premier League,2017-2018,16000000,30000000
4246,Michael Keane,Centre-Back,24,Burnley,Premier League,Everton,Premier League,2017-2018,18000000,28500000
4247,Jordan Pickford,Goalkeeper,23,Sunderland,Championship,Everton,Premier League,2017-2018,15000000,28500000
4248,Lucas Moura,Right Winger,25,Paris SG,Ligue 1,Spurs,Premier League,2017-2018,28000000,28400000
4249,Mamadou Sakho,Centre-Back,27,Liverpool,Premier League,Crystal Palace,Premier League,2017-2018,15000000,28200000
4250,Kelechi Iheanacho,Centre-Forward,20,Man City,Premier League,Leicester,Premier League,2017-2018,15000000,27700000
4251,Davy Klaassen,Attacking Midfield,24,AFC Ajax,Eredivisie,Everton,Premier League,2017-2018,18000000,27000000
4252,Milan Skriniar,Centre-Back,22,Sampdoria,Serie A,Inter,Serie A,2017-2018,7000000,27000000
4253,Youri Tielemans,Central Midfield,20,RSC Anderlecht,Jupiler Pro League,Monaco,Ligue 1,2017-2018,22000000,25000000
4254,Andriy Yarmolenko,Right Winger,27,Dynamo Kyiv,Premier Liga,Bor. Dortmund,1.Bundesliga,2017-2018,18000000,25000000
4255,Serge Aurier,Right-Back,24,Paris SG,Ligue 1,Spurs,Premier League,2017-2018,15000000,25000000
4256,Davide Zappacosta,Right-Back,25,Torino,Serie A,Chelsea,Premier League,2017-2018,8500000,25000000
4257,Adrien Silva,Central Midfield,28,Sporting CP,Liga NOS,Leicester,Premier League,2017-2018,25000000,24500000
4258,Theo Hernández,Left-Back,19,Atlético Madrid,LaLiga,Real Madrid,LaLiga,2017-2018,15000000,24000000
4259,Matías Vecino,Central Midfield,25,Fiorentina,Serie A,Inter,Serie A,2017-2018,13000000,24000000
4260,Lucas Alario,Centre-Forward,24,River Plate,Primera División,Bay. Leverkusen,1.Bundesliga,2017-2018,12000000,24000000
4261,Andrea Conti,Right-Back,23,Atalanta,Serie A,AC Milan,Serie A,2017-2018,10000000,24000000
4262,Leandro Paredes,Defensive Midfield,23,AS Roma,Serie A,Zenit S-Pb,Premier Liga,2017-2018,13000000,23000000
4263,André Ayew,Left Winger,28,West Ham,Premier League,Swansea,Premier League,2017-2018,18000000,22800000
4264,Nathan Aké,Centre-Back,22,Chelsea,Premier League,Bournemouth,Premier League,2017-2018,8000000,22800000
4265,Theo Walcott,Right Winger,28,Arsenal,Premier League,Everton,Premier League,2017-2018,20000000,22500000
4266,Cenk Tosun,Centre-Forward,26,Besiktas,Süper Lig,Everton,Premier League,2017-2018,10500000,22500000
4267,Marko Arnautovic,Left Winger,28,Stoke City,Premier League,West Ham,Premier League,2017-2018,15000000,22300000
4268,Hakan Calhanoglu,Left Winger,23,Bay. Leverkusen,1.Bundesliga,AC Milan,Serie A,2017-2018,20000000,22000000
4269,Guido Carrillo,Centre-Forward,26,Monaco,Ligue 1,Southampton,Premier League,2017-2018,6000000,22000000
4270,Luis Muriel,Centre-Forward,26,Sampdoria,Serie A,Sevilla FC,LaLiga,2017-2018,17000000,21500000
4271,Manuel Akanji,Centre-Back,22,FC Basel,Super League,Bor. Dortmund,1.Bundesliga,2017-2018,5000000,21500000
4272,Kingsley Coman,Left Winger,21,Juventus,Serie A,Bayern Munich ,1.Bundesliga,2017-2018,20000000,21000000
4273,Pietro Pellegri,Centre-Forward,16,Genoa,Serie A,Monaco,Ligue 1,2017-2018,8000000,21000000
4274,Andre Gray,Centre-Forward,26,Burnley,Premier League,Watford,Premier League,2017-2018,10000000,20400000
4275,Blaise Matuidi,Central Midfield,30,Paris SG,Ligue 1,Juventus,Serie A,2017-2018,30000000,20000000
4276,Juan Cuadrado,Right Winger,29,Chelsea,Premier League,Juventus,Serie A,2017-2018,25000000,20000000
4277,Niklas Süle,Centre-Back,21,TSG Hoffenheim,1.Bundesliga,Bayern Munich ,1.Bundesliga,2017-2018,25000000,20000000
4278,Roberto Gagliardini,Central Midfield,23,Atalanta,Serie A,Inter,Serie A,2017-2018,20000000,20000000
4279,Kevin Kampl,Central Midfield,26,Bay. Leverkusen,1.Bundesliga,RB Leipzig,1.Bundesliga,2017-2018,15000000,20000000
4280,Maximilian Philipp,Left Winger,23,SC Freiburg,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2017-2018,15000000,20000000
4281,Óliver Torres,Attacking Midfield,22,Atlético Madrid,LaLiga,FC Porto,Liga NOS,2017-2018,14000000,20000000
4282,Emerson,Left-Back,23,AS Roma,Serie A,Chelsea,Premier League,2017-2018,14000000,20000000
4283,Nikola Maksimovic,Centre-Back,25,Torino,Serie A,SSC Napoli,Serie A,2017-2018,10000000,20000000
4284,Dalbert,Left-Back,23,OGC Nice,Ligue 1,Inter,Serie A,2017-2018,5000000,20000000
4285,Kevin Wimmer,Centre-Back,24,Spurs,Premier League,Stoke City,Premier League,2017-2018,7000000,19400000
4286,Nabil Bentaleb,Defensive Midfield,22,Spurs,Premier League,FC Schalke 04,1.Bundesliga,2017-2018,18000000,19000000
4287,Mateo Musacchio,Centre-Back,26,Villarreal CF,LaLiga,AC Milan,Serie A,2017-2018,18000000,18000000
4288,Rúben Neves,Defensive Midfield,20,FC Porto,Liga NOS,Wolves,Championship,2017-2018,10000000,17900000
4289,Chicharito,Centre-Forward,29,Bay. Leverkusen,1.Bundesliga,West Ham,Premier League,2017-2018,18000000,17800000
4290,Panagiotis Retsos,Centre-Back,19,Olympiacos,Super League,Bay. Leverkusen,1.Bundesliga,2017-2018,5000000,17500000
4291,Britt Assombalonga,Centre-Forward,24,Nottm Forest,Championship,Middlesbrough,Championship,2017-2018,5000000,17100000
4292,Lucas Biglia,Defensive Midfield,31,Lazio,Serie A,AC Milan,Serie A,2017-2018,20000000,17000000
4293,Olivier Giroud,Centre-Forward,31,Arsenal,Premier League,Chelsea,Premier League,2017-2018,20000000,17000000
4294,Medhi Benatia,Centre-Back,30,Bayern Munich ,1.Bundesliga,Juventus,Serie A,2017-2018,15000000,17000000
4295,Matthias Ginter,Centre-Back,23,Bor. Dortmund,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,2017-2018,15000000,17000000
4296,John Anthony Brooks,Centre-Back,24,Hertha BSC,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2017-2018,14000000,17000000
4297,Jürgen Locadia,Centre-Forward,24,PSV Eindhoven,Eredivisie,Brighton,Premier League,2017-2018,8500000,17000000
4298,Mario Lemina,Defensive Midfield,23,Juventus,Serie A,Southampton,Premier League,2017-2018,7500000,17000000
4299,Jhon Córdoba,Centre-Forward,24,1.FSV Mainz 05,1.Bundesliga,1. FC Köln,1.Bundesliga,2017-2018,7000000,17000000
4300,Ismaïla Sarr,Left Winger,19,FC Metz,Ligue 1,Stade Rennais,Ligue 1,2017-2018,2500000,17000000
4301,Ross Barkley,Attacking Midfield,24,Everton,Premier League,Chelsea,Premier League,2017-2018,25000000,16900000
4302,Dani Ceballos,Central Midfield,20,Real Betis,LaLiga,Real Madrid,LaLiga,2017-2018,10000000,16500000
4303,Wesley Hoedt,Centre-Back,23,Lazio,Serie A,Southampton,Premier League,2017-2018,7500000,16400000
4304,Chris Wood,Centre-Forward,25,Leeds,Championship,Burnley,Premier League,2017-2018,6000000,16400000
4305,Sam Clucas,Left Midfield,26,Hull City,Championship,Swansea,Premier League,2017-2018,2500000,16300000
4306,Simone Zaza,Centre-Forward,26,Juventus,Serie A,Valencia CF,LaLiga,2017-2018,15000000,16000000
4307,Yuri Berchiche,Left-Back,27,Real Sociedad,LaLiga,Paris SG,Ligue 1,2017-2018,10000000,16000000
4308,Emanuel Mammana,Centre-Back,21,Olympique Lyon,Ligue 1,Zenit S-Pb,Premier Liga,2017-2018,7000000,16000000
4309,Badou Ndiaye,Central Midfield,27,Galatasaray,Süper Lig,Stoke City,Premier League,2017-2018,7000000,16000000
4310,Jean-Kévin Augustin,Centre-Forward,20,Paris SG,Ligue 1,RB Leipzig,1.Bundesliga,2017-2018,3000000,16000000
4311,Oliver Burke,Right Winger,20,RB Leipzig,1.Bundesliga,West Brom,Premier League,2017-2018,7000000,15200000
4312,Fernando Llorente,Centre-Forward,32,Swansea,Premier League,Spurs,Premier League,2017-2018,6000000,15100000
4313,Ricardo Rodríguez,Left-Back,24,VfL Wolfsburg,1.Bundesliga,AC Milan,Serie A,2017-2018,17000000,15000000
4314,José Izquierdo,Left Winger,25,Club Brugge,Jupiler Pro League,Brighton,Premier League,2017-2018,14000000,15000000
4315,Konstantinos Mitroglou,Centre-Forward,29,Benfica,Liga NOS,Marseille,Ligue 1,2017-2018,12000000,15000000
4316,Terence Kongolo,Centre-Back,23,Feyenoord,Eredivisie,Monaco,Ligue 1,2017-2018,10000000,15000000
4317,Giovanni Simeone,Centre-Forward,22,Genoa,Serie A,Fiorentina,Serie A,2017-2018,10000000,15000000
4318,Vicente Iborra,Defensive Midfield,29,Sevilla FC,LaLiga,Leicester,Premier League,2017-2018,9000000,15000000
4319,Sebastián Driussi,Centre-Forward,21,River Plate,Primera División,Zenit S-Pb,Premier Liga,2017-2018,8000000,15000000
4320,Gianluca Caprari,Second Striker,23,Inter,Serie A,Sampdoria,Serie A,2017-2018,6000000,15000000
4321,Francis Coquelin,Defensive Midfield,26,Arsenal,Premier League,Valencia CF,LaLiga,2017-2018,12000000,14000000
4322,Enes Ünal,Centre-Forward,20,Man City,Premier League,Villarreal CF,LaLiga,2017-2018,10000000,14000000
4323,Rúben Semedo,Centre-Back,23,Sporting CP,Liga NOS,Villarreal CF,LaLiga,2017-2018,9000000,14000000
4324,Rick Karsdorp,Right-Back,22,Feyenoord,Eredivisie,AS Roma,Serie A,2017-2018,9000000,14000000
4325,Thiago Maia,Central Midfield,20,Santos FC,Série A,LOSC Lille,Ligue 1,2017-2018,3000000,14000000
4326,Jay Rodríguez,Centre-Forward,27,Southampton,Premier League,West Brom,Premier League,2017-2018,10000000,13700000
4327,Harry Maguire,Centre-Back,24,Hull City,Championship,Leicester,Premier League,2017-2018,8000000,13700000
4328,Marten de Roon,Central Midfield,26,Middlesbrough,Championship,Atalanta,Serie A,2017-2018,10000000,13500000
4329,Cengiz Ünder,Right Winger,20,Basaksehir,Süper Lig,AS Roma,Serie A,2017-2018,5000000,13400000
4330,Wilfried Bony,Centre-Forward,28,Man City,Premier League,Swansea,Premier League,2017-2018,18000000,13000000
4331,Bruma,Left Winger,22,Galatasaray,Süper Lig,RB Leipzig,1.Bundesliga,2017-2018,11000000,13000000
4332,Marko Rog,Central Midfield,21,Dinamo Zagreb,1.HNL,SSC Napoli,Serie A,2017-2018,10000000,13000000
4333,Davy Pröpper,Central Midfield,25,PSV Eindhoven,Eredivisie,Brighton,Premier League,2017-2018,10000000,13000000
4334,Sandro Wagner,Centre-Forward,30,TSG Hoffenheim,1.Bundesliga,Bayern Munich ,1.Bundesliga,2017-2018,9000000,13000000
4335,Steve Mounié,Centre-Forward,22,Montpellier,Ligue 1,Huddersfield,Premier League,2017-2018,5500000,13000000
4336,Emre Mor,Left Winger,20,Bor. Dortmund,1.Bundesliga,Celta de Vigo,LaLiga,2017-2018,5000000,13000000
4337,Juan Foyth,Centre-Back,19,Estudiantes,Primera División,Spurs,Premier League,2017-2018,-1,13000000
4338,Roque Mesa,Central Midfield,28,UD Las Palmas,LaLiga,Swansea,Premier League,2017-2018,12000000,12500000
4339,Bruno Peres,Right-Back,27,Torino,Serie A,AS Roma,Serie A,2017-2018,11000000,12500000
4340,Simon Kjær,Centre-Back,28,Fenerbahce,Süper Lig,Sevilla FC,LaLiga,2017-2018,11000000,12500000
4341,Yevhen Konoplyanka,Left Winger,27,Sevilla FC,LaLiga,FC Schalke 04,1.Bundesliga,2017-2018,10000000,12500000
4342,Sven Bender,Centre-Back,28,Bor. Dortmund,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2017-2018,7000000,12500000
4343,Richarlison,Left Winger,20,Fluminense,Série A,Watford,Premier League,2017-2018,2000000,12400000
4344,Alex Pritchard,Attacking Midfield,24,Norwich,Championship,Huddersfield,Premier League,2017-2018,5000000,12350000
4345,Ezequiel Barco,Attacking Midfield,18,Independiente,Primera División,Atlanta United,MLS,2017-2018,6500000,12280000
4346,Wojciech Szczesny,Goalkeeper,27,Arsenal,Premier League,Juventus,Serie A,2017-2018,17000000,12200000
4347,Ömer Toprak,Centre-Back,27,Bay. Leverkusen,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2017-2018,16000000,12000000
4348,Mahmoud Dahoud,Central Midfield,21,Bor. M'gladbach,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2017-2018,15000000,12000000
4349,Gerard Deulofeu,Right Winger,23,Everton,Premier League,FC Barcelona,LaLiga,2017-2018,12000000,12000000
4350,Pablo Fornals,Attacking Midfield,21,Málaga CF,LaLiga,Villarreal CF,LaLiga,2017-2018,10000000,12000000
4351,Mattia De Sciglio,Right-Back,24,AC Milan,Serie A,Juventus,Serie A,2017-2018,8500000,12000000
4352,Adrián Ramos,Centre-Forward,31,Bor. Dortmund,1.Bundesliga,CQ Dangdai Lif.,Super League,2017-2018,5000000,12000000
4353,Denis Zakaria,Defensive Midfield,20,BSC Young Boys,Super League,Bor. M'gladbach,1.Bundesliga,2017-2018,4000000,12000000
4354,Pedro Rocha,Left Winger,22,Grêmio,Série A,Spartak Moscow,Premier Liga,2017-2018,1500000,12000000
4355,Douglas Luiz,Central Midfield,19,Vasco da Gama,Série A,Man City,Premier League,2017-2018,-1,12000000
4356,Yerry Mina,Centre-Back,23,Palmeiras,Série A,FC Barcelona,LaLiga,2017-2018,9000000,11800000
4357,Jordan Rhodes,Centre-Forward,27,Middlesbrough,Championship,Sheff Wed,Championship,2017-2018,10000000,11700000
4358,Asmir Begovic,Goalkeeper,30,Chelsea,Premier League,Bournemouth,Premier League,2017-2018,8000000,11500000
4359,Lucas Pratto,Centre-Forward,29,São Paulo,Série A,River Plate,Primera División,2017-2018,4500000,11500000
4360,Martin Braithwaite,Centre-Forward,26,Toulouse,Ligue 1,Middlesbrough,Championship,2017-2018,7500000,11300000
4361,Jacob Murphy,Right Winger,22,Norwich,Championship,Newcastle,Premier League,2017-2018,1000000,11300000
4362,Florian Thauvin,Right Winger,24,Newcastle,Premier League,Marseille,Ligue 1,2017-2018,18000000,11000000
4363,Gabriel Paulista,Centre-Back,26,Arsenal,Premier League,Valencia CF,LaLiga,2017-2018,13000000,11000000
4364,Martin Terrier,Left Winger,20,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,2017-2018,12000000,11000000
4365,Guilherme Arana,Left-Back,20,Corinthians,Série A,Sevilla FC,LaLiga,2017-2018,10000000,11000000
4366,Stevan Jovetic,Centre-Forward,27,Inter,Serie A,Monaco,Ligue 1,2017-2018,10000000,11000000
4367,Jonathan Viera,Attacking Midfield,28,UD Las Palmas,LaLiga,BJ Sinobo Guoan,Super League,2017-2018,8000000,11000000
4368,Jô,Centre-Forward,30,Corinthians,Série A,Nagoya Grampus,J1 League,2017-2018,4000000,11000000
4369,Nikola Vlasic,Attacking Midfield,19,Hajduk Split,1.HNL,Everton,Premier League,2017-2018,4000000,10800000
4370,Marc Bartra,Centre-Back,27,Bor. Dortmund,1.Bundesliga,Real Betis,LaLiga,2017-2018,15000000,10500000
4371,Rodrigo Bentancur,Central Midfield,20,Boca Juniors,Primera División,Juventus,Serie A,2017-2018,6000000,10500000
4372,Luiz Araújo,Right Winger,21,São Paulo,Série A,LOSC Lille,Ligue 1,2017-2018,500000,10500000
4373,Jordan Hugill,Centre-Forward,25,Preston NE,Championship,West Ham,Premier League,2017-2018,3000000,10200000
4374,Luiz Gustavo,Defensive Midfield,29,VfL Wolfsburg,1.Bundesliga,Marseille,Ligue 1,2017-2018,12000000,10000000
4375,Lorenzo Pellegrini,Central Midfield,21,Sassuolo,Serie A,AS Roma,Serie A,2017-2018,12000000,10000000
4376,Ignacio Camacho,Defensive Midfield,27,Málaga CF,LaLiga,VfL Wolfsburg,1.Bundesliga,2017-2018,10000000,10000000
4377,Marco Benassi,Central Midfield,22,Torino,Serie A,Fiorentina,Serie A,2017-2018,9500000,10000000
4378,Diafra Sakho,Centre-Forward,28,West Ham,Premier League,Stade Rennais,Ligue 1,2017-2018,8000000,10000000
4379,Bertrand Traoré,Right Winger,21,Chelsea,Premier League,Olympique Lyon,Ligue 1,2017-2018,8000000,10000000
4380,Landry Dimata,Centre-Forward,19,KV Oostende,Jupiler Pro League,VfL Wolfsburg,1.Bundesliga,2017-2018,6500000,10000000
4381,Florian Lejeune,Centre-Back,26,SD Eibar,LaLiga,Newcastle,Premier League,2017-2018,5000000,10000000
4382,Roberto Inglese,Centre-Forward,25,Chievo Verona,Serie A,SSC Napoli,Serie A,2017-2018,4500000,10000000
4383,Adam Ounas,Left Winger,20,G. Bordeaux,Ligue 1,SSC Napoli,Serie A,2017-2018,4000000,10000000
4384,Loïs Diony,Centre-Forward,24,Dijon,Ligue 1,Saint-Étienne,Ligue 1,2017-2018,3000000,10000000
4385,Nicolas Pépé,Right Winger,22,SCO Angers,Ligue 1,LOSC Lille,Ligue 1,2017-2018,3000000,10000000
4386,Allan Saint-Maximin,Right Winger,20,Monaco,Ligue 1,OGC Nice,Ligue 1,2017-2018,3000000,10000000
4387,Adama Diakhaby,Centre-Forward,21,Stade Rennais,Ligue 1,Monaco,Ligue 1,2017-2018,1500000,10000000
4388,Pape Cheikh,Central Midfield,20,Celta de Vigo,LaLiga,Olympique Lyon,Ligue 1,2017-2018,800000,10000000
4389,Bruno Fernandes,Attacking Midfield,22,Sampdoria,Serie A,Sporting CP,Liga NOS,2017-2018,7500000,9690000
4390,Marcos Acuña,Left Midfield,25,Racing Club,Primera División,Sporting CP,Liga NOS,2017-2018,7000000,9590000
4391,Tom Cleverley,Central Midfield,27,Everton,Premier League,Watford,Premier League,2017-2018,8000000,9300000
4392,Rui Fonte,Centre-Forward,27,Braga,Liga NOS,Fulham,Championship,2017-2018,3000000,9130000
4393,Will Hughes,Central Midfield,22,Derby,Championship,Watford,Premier League,2017-2018,8000000,9100000
4394,Tom Ince,Right Winger,25,Derby,Championship,Huddersfield,Premier League,2017-2018,7000000,9100000
4395,Aaron Mooy,Central Midfield,26,Man City,Premier League,Huddersfield,Premier League,2017-2018,5000000,9100000
4396,Jack Cork,Defensive Midfield,28,Swansea,Premier League,Burnley,Premier League,2017-2018,5000000,9100000
4397,Jonathas,Centre-Forward,28,Rubin Kazan,Premier Liga,Hannover 96,1.Bundesliga,2017-2018,7000000,9000000
