,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
2800,Emiliano Viviano,Goalkeeper,26,Inter,Serie A,US Palermo,Serie A,2011-2012,10000000,8500000
2801,Ricardo Rodríguez,Left-Back,19,FC Zürich,Super League,VfL Wolfsburg,1.Bundesliga,2011-2012,7500000,8500000
2802,Dries Mertens,Centre-Forward,24,FC Utrecht,Eredivisie,PSV Eindhoven,Eredivisie,2011-2012,6000000,8500000
2803,Gary Cahill,Centre-Back,26,Bolton,Premier League,Chelsea,Premier League,2011-2012,13000000,8400000
2804,Charlie Adam,Central Midfield,25,Blackpool,Championship,Liverpool,Premier League,2011-2012,4500000,8400000
2805,Darío Conca,Attacking Midfield,28,Fluminense,Série A,GZ Evergrande,Super League,2011-2012,6000000,8200000
2806,Alberto Gilardino,Centre-Forward,29,Fiorentina,Serie A,Genoa,Serie A,2011-2012,16000000,8000000
2807,Jérémy Ménez,Second Striker,24,AS Roma,Serie A,Paris SG,Ligue 1,2011-2012,15000000,8000000
2808,Kevin De Bruyne,Attacking Midfield,20,KRC Genk,Jupiler Pro League,Chelsea,Premier League,2011-2012,9000000,8000000
2809,Christian Noboa,Central Midfield,26,Rubin Kazan, Russia,Dinamo Moscow, Russia,2011-2012,8000000,8000000
2810,Víctor Ruiz,Centre-Back,22,SSC Napoli,Serie A,Valencia CF,LaLiga,2011-2012,8000000,8000000
2811,Blaise Matuidi,Central Midfield,24,Saint-Étienne,Ligue 1,Paris SG,Ligue 1,2011-2012,8000000,8000000
2812,José Enrique,Left-Back,25,Newcastle,Premier League,Liverpool,Premier League,2011-2012,7500000,8000000
2813,Sílvio,Right-Back,23,Braga,Liga NOS,Atlético Madrid,LaLiga,2011-2012,7500000,8000000
2814,Mohamed Sissoko,Defensive Midfield,26,Juventus,Serie A,Paris SG,Ligue 1,2011-2012,7500000,8000000
2815,Christian Benítez,Centre-Forward,25,Santos Laguna,Liga MX Clausura,América,Liga MX Clausura,2011-2012,6500000,8000000
2816,Roger Johnson,Centre-Back,28,Birmingham,Championship,Wolves,Premier League,2011-2012,5000000,8000000
2817,Jonathan de Guzmán,Central Midfield,23,RCD Mallorca,LaLiga,Villarreal CF,LaLiga,2011-2012,5000000,8000000
2818,Nolan Roux,Centre-Forward,23,Stade Brest 29,Ligue 1,LOSC Lille,Ligue 1,2011-2012,4750000,8000000
